Wall time,Step,Value
1586692714.6513722,0,0.9250994324684143
1586693037.8014538,1,0.7296561598777771
1586693306.7334754,2,0.6477828621864319
1586693573.9326515,3,0.5988236665725708
1586693841.7387497,4,0.554440975189209
