Wall time,Step,Value
1586699773.547685,0,1.669935941696167
1586700090.283461,1,1.1725488901138306
1586700343.5910347,2,1.020111322402954
1586700599.4747763,3,0.9196178317070007
1586700857.410207,4,0.8277348279953003
1586701115.1305165,5,0.7313697934150696
1586701378.756035,6,0.6840876340866089
1586701639.5336733,7,0.6391880512237549
1586701900.4072564,8,0.5993044972419739
1586702159.3492968,9,0.5679368376731873
1586702422.8201566,10,0.5396271347999573
1586702684.2281296,11,0.5180900692939758
1586702947.6578157,12,0.4951677918434143
1586703205.3387206,13,0.47232070565223694
1586703466.0141704,14,0.4494089186191559
